ts,total,USDC,Cash_Polymarket
2025-11-04T09:53:35Z,41.0000341741,4.15E-7,41
2025-11-04T09:56:03Z,41.0000341741,4.15E-7,41
2025-11-04T09:59:24Z,41.0000341741,4.15E-7,41
2025-11-04T10:01:34Z,41.0000341741,4.15E-7,41
2025-11-04T10:02:06Z,41.0000341741,4.15E-7,41
2025-11-04T10:03:35Z,41.0000341741,4.15E-7,41
2025-11-04T10:06:03Z,41.0000341741,4.15E-7,41
2025-11-04T10:09:25Z,41.0000341741,4.15E-7,41
2025-11-04T10:11:34Z,41.0000341741,4.15E-7,41
2025-11-04T10:12:07Z,41.0000341741,4.15E-7,41
2025-11-04T10:13:35Z,41.0000341741,4.15E-7,41
2025-11-04T10:16:03Z,41.0000341741,4.15E-7,41
2025-11-04T10:19:25Z,41.0000341741,4.15E-7,41
2025-11-04T10:21:34Z,41.0000341741,4.15E-7,41
2025-11-04T10:22:07Z,41.0000341741,4.15E-7,41
2025-11-04T10:23:36Z,41.0000341741,4.15E-7,41
2025-11-04T10:26:04Z,41.0000341741,4.15E-7,41
2025-11-04T10:29:25Z,41.0000341741,4.15E-7,41
2025-11-04T10:31:35Z,41.0000341741,4.15E-7,41
2025-11-04T10:32:07Z,41.0000341741,4.15E-7,41
2025-11-04T10:33:36Z,41.0000341741,4.15E-7,41
2025-11-04T10:36:04Z,41.0000341741,4.15E-7,41
2025-11-04T10:39:26Z,41.0000341741,4.15E-7,41
2025-11-04T10:41:35Z,41.0000341741,4.15E-7,41
2025-11-04T10:42:07Z,41.0000341741,4.15E-7,41
2025-11-04T10:43:36Z,41.0000341741,4.15E-7,41
2025-11-04T10:46:04Z,41.0000341741,4.15E-7,41
2025-11-04T10:49:26Z,41.0000341741,4.15E-7,41
2025-11-04T10:51:35Z,41.0000341741,4.15E-7,41
2025-11-04T10:52:08Z,41.0000341741,4.15E-7,41
2025-11-04T10:53:37Z,41.0000341741,4.15E-7,41
2025-11-04T10:56:04Z,41.0000341741,4.15E-7,41
2025-11-04T10:59:26Z,41.0000341741,4.15E-7,41
2025-11-04T11:01:35Z,41.0000341741,4.15E-7,41
2025-11-04T11:02:08Z,41.0000341741,4.15E-7,41
2025-11-04T11:03:37Z,41.0000341741,4.15E-7,41
2025-11-04T11:06:05Z,41.0000341741,4.15E-7,41
2025-11-04T11:09:26Z,41.0000341741,4.15E-7,41
2025-11-04T11:11:36Z,41.0000341741,4.15E-7,41
2025-11-04T11:12:08Z,41.0000341741,4.15E-7,41
2025-11-04T11:13:37Z,41.0000341741,4.15E-7,41
2025-11-04T11:16:05Z,41.0000341741,4.15E-7,41
2025-11-04T11:19:27Z,41.0000341741,4.15E-7,41
2025-11-04T11:21:36Z,41.0000341741,4.15E-7,41
2025-11-04T11:22:08Z,41.0000341741,4.15E-7,41
2025-11-04T11:23:37Z,41.0000341741,4.15E-7,41
2025-11-04T11:26:05Z,41.0000341741,4.15E-7,41
2025-11-04T11:29:27Z,41.0000341741,4.15E-7,41
2025-11-04T11:31:36Z,41.0000341741,4.15E-7,41
2025-11-04T11:32:09Z,41.0000341741,4.15E-7,41
2025-11-04T11:33:38Z,41.0000341741,4.15E-7,41
2025-11-04T11:36:06Z,41.0000341741,4.15E-7,41
2025-11-04T11:39:27Z,41.0000341741,4.15E-7,41
2025-11-04T11:41:37Z,41.0000341741,4.15E-7,41
2025-11-04T11:42:09Z,41.0000341741,4.15E-7,41
2025-11-04T11:43:38Z,41.0000341741,4.15E-7,41
2025-11-04T11:46:06Z,41.0000341741,4.15E-7,41
2025-11-04T11:49:28Z,41.0000341741,4.15E-7,41
2025-11-04T11:51:37Z,41.0000341741,4.15E-7,41
2025-11-04T11:52:09Z,41.0000341741,4.15E-7,41
2025-11-04T11:53:38Z,41.0000341741,4.15E-7,41
2025-11-04T11:56:06Z,41.0000341741,4.15E-7,41
2025-11-04T11:59:28Z,41.0000341741,4.15E-7,41
2025-11-04T12:01:37Z,41.0000341741,4.15E-7,41
2025-11-04T12:02:10Z,41.0000341741,4.15E-7,41
2025-11-04T12:03:38Z,41.0000341741,4.15E-7,41
2025-11-04T12:06:06Z,41.0000341741,4.15E-7,41
2025-11-04T12:09:28Z,41.0000341741,4.15E-7,41
2025-11-04T12:11:37Z,41.0000341741,4.15E-7,41
2025-11-04T12:12:10Z,41.0000341741,4.15E-7,41
2025-11-04T12:13:39Z,41.0000341741,4.15E-7,41
2025-11-04T12:16:07Z,41.0000341741,4.15E-7,41
2025-11-04T12:19:28Z,41.0000341741,4.15E-7,41
2025-11-04T12:21:38Z,41.0000341741,4.15E-7,41
2025-11-04T12:22:10Z,41.0000341741,4.15E-7,41
2025-11-04T12:23:39Z,41.0000341741,4.15E-7,41
2025-11-04T12:26:07Z,41.0000341741,4.15E-7,41
2025-11-04T12:29:29Z,41.0000341741,4.15E-7,41
2025-11-04T12:31:38Z,41.0000341741,4.15E-7,41
2025-11-04T12:32:10Z,41.0000341741,4.15E-7,41
2025-11-04T12:33:39Z,41.0000341741,4.15E-7,41
2025-11-04T12:36:07Z,41.0000341741,4.15E-7,41
2025-11-04T12:39:29Z,41.0000341741,4.15E-7,41
2025-11-04T12:41:38Z,41.0000341741,4.15E-7,41
2025-11-04T12:42:11Z,41.0000341741,4.15E-7,41
2025-11-04T12:43:39Z,41.0000341741,4.15E-7,41
2025-11-04T12:46:07Z,41.0000341741,4.15E-7,41
2025-11-04T12:49:29Z,41.0000341741,4.15E-7,41
2025-11-04T12:51:38Z,41.0000341741,4.15E-7,41
2025-11-04T12:52:11Z,41.0000341741,4.15E-7,41
2025-11-04T12:53:40Z,41.0000341741,4.15E-7,41
2025-11-04T12:56:08Z,41.0000341741,4.15E-7,41
2025-11-04T12:59:29Z,41.0000341741,4.15E-7,41
2025-11-04T13:01:38Z,41.0000341741,4.15E-7,41
2025-11-04T13:02:11Z,41.0000341741,4.15E-7,41
2025-11-04T13:03:40Z,41.0000341741,4.15E-7,41
2025-11-04T13:06:08Z,41.0000341741,4.15E-7,41
2025-11-04T13:09:29Z,41.0000341741,4.15E-7,41
2025-11-04T13:11:39Z,41.0000341741,4.15E-7,41
2025-11-04T13:12:11Z,41.0000341741,4.15E-7,41
2025-11-04T13:13:40Z,41.0000341741,4.15E-7,41
2025-11-04T13:16:08Z,41.0000341741,4.15E-7,41
2025-11-04T13:19:30Z,41.0000341741,4.15E-7,41
2025-11-04T13:21:39Z,41.0000341741,4.15E-7,41
2025-11-04T13:22:11Z,41.0000341741,4.15E-7,41
2025-11-04T13:23:40Z,41.0000341741,4.15E-7,41
2025-11-04T13:26:08Z,41.0000341741,4.15E-7,41
2025-11-04T13:29:30Z,41.0000341741,4.15E-7,41
2025-11-04T13:31:39Z,41.0000341741,4.15E-7,41
2025-11-04T13:32:12Z,41.0000341741,4.15E-7,41
2025-11-04T13:33:40Z,41.0000341741,4.15E-7,41
2025-11-04T13:36:09Z,41.0000341741,4.15E-7,41
2025-11-04T13:39:30Z,41.0000341741,4.15E-7,41
2025-11-04T13:41:39Z,41.0000341741,4.15E-7,41
2025-11-04T13:42:12Z,41.0000341741,4.15E-7,41
2025-11-04T13:43:41Z,41.0000341741,4.15E-7,41
2025-11-04T13:46:09Z,41.0000341741,4.15E-7,41
2025-11-04T13:49:30Z,41.0000341741,4.15E-7,41
2025-11-04T13:51:40Z,41.0000341741,4.15E-7,41
2025-11-04T13:52:12Z,41.0000341741,4.15E-7,41
2025-11-04T13:53:41Z,41.0000341741,4.15E-7,41
2025-11-04T13:56:09Z,41.0000341741,4.15E-7,41
2025-11-04T13:59:31Z,41.0000341741,4.15E-7,41
2025-11-04T14:01:40Z,41.0000341741,4.15E-7,41
2025-11-04T14:02:12Z,41.0000341741,4.15E-7,41
2025-11-04T14:03:41Z,41.0000341741,4.15E-7,41
2025-11-04T14:06:09Z,41.0000341741,4.15E-7,41
2025-11-04T14:09:31Z,41.0000341741,4.15E-7,41
2025-11-04T14:11:40Z,41.0000341741,4.15E-7,41
2025-11-04T14:12:13Z,41.0000341741,4.15E-7,41
2025-11-04T14:13:41Z,41.0000341741,4.15E-7,41
2025-11-04T14:16:09Z,41.0000341741,4.15E-7,41
2025-11-04T14:19:31Z,41.0000341741,4.15E-7,41
2025-11-04T14:21:40Z,41.0000341741,4.15E-7,41
